name,left_d x,left_d y,right_u x,right_u y,is house
IMG0.png,622,133,661,165,False
IMG0.png,0,59,140,416,False
IMG0.png,4,100,135,176,False
IMG0.png,26,41,179,131,False
IMG0.png,0,20,11,49,False
IMG0.png,889,600,980,603,False
IMG0.png,1109,538,1186,605,False
IMG0.png,672,545,755,587,False
IMG0.png,602,544,660,574,False
IMG0.png,956,538,1001,574,False
IMG0.png,1315,541,1356,583,False
IMG0.png,1221,533,1259,568,False
IMG0.png,1055,532,1075,544,False
IMG0.png,1047,516,1066,533,False
IMG0.png,696,455,768,495,False
IMG0.png,597,426,690,503,False
IMG0.png,510,435,535,465,False
IMG0.png,1285,417,1367,537,False
IMG0.png,623,415,657,433,False
IMG0.png,805,392,850,437,False
IMG0.png,533,380,612,408,False
IMG0.png,1272,376,1298,396,False
IMG0.png,645,372,663,388,False
IMG0.png,941,367,978,403,False
IMG0.png,1278,345,1296,362,False
IMG0.png,734,335,757,357,False
IMG0.png,1314,330,1344,354,False
IMG0.png,655,285,697,320,False
IMG0.png,1329,261,1363,285,False
IMG0.png,253,236,331,285,False
IMG0.png,1267,222,1316,248,False
IMG0.png,154,217,178,232,False
IMG0.png,896,209,950,250,False
IMG0.png,680,204,801,324,False
IMG0.png,200,204,246,238,False
IMG0.png,161,184,189,205,False
IMG0.png,791,174,837,198,False
IMG0.png,1230,168,1274,198,False
IMG0.png,1207,162,1229,176,False
IMG0.png,1119,107,1148,131,False
IMG0.png,1150,80,1189,115,False
IMG0.png,1106,66,1159,103,False
IMG0.png,1069,65,1093,90,False
IMG0.png,1001,43,1029,62,False
IMG0.png,224,0,259,9,False
IMG1.png,1255,267,1377,350,False
IMG1.png,1326,193,1369,223,False
IMG1.png,1286,81,1331,119,False
IMG1.png,934,572,966,606,False
IMG1.png,733,570,752,593,False
IMG1.png,851,564,880,571,False
IMG1.png,706,541,742,578,False
IMG1.png,899,532,914,549,False
IMG1.png,684,514,699,533,False
IMG1.png,939,461,1033,552,False
IMG1.png,312,463,375,527,False
IMG1.png,573,434,604,462,False
IMG1.png,330,435,357,462,False
IMG1.png,679,399,770,479,False
IMG1.png,526,393,566,425,False
IMG1.png,713,391,742,405,False
IMG1.png,676,377,706,406,False
IMG1.png,12,369,33,390,False
IMG1.png,21,343,58,375,False
IMG1.png,647,337,687,391,False
IMG1.png,662,321,706,358,False
IMG1.png,606,313,640,347,False
IMG1.png,441,310,477,339,False
IMG1.png,478,232,503,257,False
IMG1.png,382,63,509,210,False
IMG2.png,1013,506,1042,540,False
IMG2.png,615,493,831,630,False
IMG2.png,793,491,971,599,False
IMG2.png,439,484,578,568,False
IMG2.png,735,461,782,490,False
IMG2.png,377,449,422,480,False
IMG2.png,318,416,354,441,False
IMG2.png,245,372,317,422,False
IMG2.png,-12,338,476,636,False
IMG2.png,473,311,736,466,False
IMG2.png,1045,286,1162,478,False
IMG2.png,350,242,472,314,False
IMG2.png,-5,232,244,378,False
IMG2.png,1162,217,1200,267,False
IMG2.png,301,213,351,247,False
IMG2.png,257,190,300,218,False
IMG2.png,608,175,1054,437,False
IMG2.png,1196,133,1247,204,False
IMG2.png,62,78,213,169,False
IMG2.png,432,77,610,184,False
IMG2.png,386,53,434,83,False
IMG2.png,-13,44,25,87,False
IMG2.png,1046,0,1365,131,False
IMG2.png,643,-11,1148,282,False
IMG3.png,85,479,155,596,False
IMG3.png,143,355,224,484,False
IMG3.png,1090,291,1366,344,False
IMG3.png,914,227,1082,296,False
IMG3.png,806,201,910,243,False
