name,left_d x,left_d y,right_u x,right_u y
IMG0.jpg,551,0,611,48
IMG0.jpg,168,483,276,532
IMG0.jpg,224,445,246,466
IMG0.jpg,498,405,542,452
IMG0.jpg,71,389,149,496
IMG0.jpg,51,275,295,441
IMG0.jpg,267,263,311,310
IMG0.jpg,313,227,546,391
IMG0.jpg,501,223,541,260
IMG0.jpg,608,201,654,438
IMG0.jpg,324,181,355,212
IMG0.jpg,388,153,425,187
IMG0.jpg,282,83,323,121
IMG0.jpg,473,79,505,211
IMG0.jpg,53,72,286,230
IMG0.jpg,611,65,717,188
IMG0.jpg,358,13,390,141
IMG1.jpg,205,471,224,486
IMG1.jpg,408,438,441,462
IMG1.jpg,66,438,97,458
IMG1.jpg,772,426,798,473
IMG1.jpg,326,425,385,488
IMG1.jpg,341,445,379,485
IMG1.jpg,185,417,231,437
IMG1.jpg,103,407,130,458
IMG1.jpg,332,394,364,414
IMG1.jpg,146,394,195,430
IMG1.jpg,60,363,108,413
IMG1.jpg,748,360,778,399
IMG1.jpg,763,356,801,401
IMG1.jpg,463,354,656,477
IMG1.jpg,546,410,576,440
IMG1.jpg,75,317,96,338
IMG1.jpg,215,303,289,332
IMG1.jpg,264,289,288,300
IMG1.jpg,283,285,304,301
IMG1.jpg,327,261,456,317
IMG1.jpg,504,235,597,296
IMG1.jpg,539,254,579,293
IMG1.jpg,372,218,459,252
IMG1.jpg,139,220,163,263
IMG1.jpg,85,221,106,268
IMG1.jpg,622,219,700,291
IMG1.jpg,627,248,636,286
IMG1.jpg,655,244,689,272
IMG1.jpg,767,176,803,275
IMG1.jpg,717,162,770,277
IMG1.jpg,736,207,759,235
IMG1.jpg,584,165,678,188
IMG1.jpg,532,158,573,179
IMG1.jpg,93,154,166,185
IMG1.jpg,501,147,526,188
IMG1.jpg,732,143,760,163
IMG1.jpg,436,103,459,130
IMG1.jpg,756,102,807,180
IMG1.jpg,91,81,165,118
IMG1.jpg,383,78,405,88
IMG1.jpg,562,65,760,178
IMG1.jpg,191,71,224,100
IMG1.jpg,279,66,336,157
IMG1.jpg,301,79,322,128
IMG2.jpg,99,554,121,576
IMG2.jpg,438,547,466,575
