image_names;house;xmin;xmax;ymin;ymax
test/d030.png;True;111;201;0;100
test/d013.png;True;237;306;170;270
test/d013.png;False;112;143;293;315
test/d013.png;True;271;352;53;99
test/d013.png;False;334;361;218;246
test/d013.png;False;381;403;193;223
test/d013.png;False;327;361;260;329
test/d013.png;False;372;409;270;322
test/d013.png;True;466;505;195;247
test/b0.png;True;281;308;254;279
test/b0.png;True;442;461;176;194
test/b0.png;True;499;511;175;190
test/b0.png;False;455;472;139;152
test/b0.png;False;465;476;190;210
test/b1.png;True;7;27;243;265
test/b1.png;True;41;75;161;192
test/b1.png;False;88;100;149;166
test/b1.png;True;123;155;185;219
test/b1.png;True;131;147;238;258
test/b1.png;True;214;236;153;183
test/b1.png;True;239;255;253;273
test/b1.png;False;206;224;232;248
test/b1.png;True;314;342;234;263
test/b1.png;True;381;391;239;249
test/b1.png;True;323;344;195;213
test/c01.png;True;373;407;340;389
test/c01.png;True;395;432;283;307
test/d102.png;False;45;72;106;131
test/d102.png;True;175;296;138;247
test/d102.png;True;23;106;455;510
test/d102.png;False;123;155;412;455
test/d102.png;False;240;282;422;466
test/d102.png;False;372;400;305;350
test/d102.png;False;354;400;90;150
test/d112.png;True;275;364;272;353
test/d112.png;True;241;335;472;511
test/d112.png;False;260;274;337;367
test/d112.png;False;73;92;432;480
test/d121.png;True;437;502;5;64
test/d131.png;True;30;92;80;177
test/d130.png;True;35;90;0;38
test/d130.png;False;241;273;22;61
test/d130.png;False;237;271;134;189
test/d130.png;False;355;386;164;190
test/e133.png;True;147;217;8;148
test/e133.png;True;228;304;30;133
test/e133.png;False;448;508;269;299
test/e133.png;False;325;365;98;118
test/e133.png;False;394;406;90;135
test/e133.png;False;452;490;295;256
test/e132.png;False;220;282;71;119
test/e131.png;True;29;190;116;196
test/e131.png;True;0;100;324;509
test/e131.png;True;426;502;385;502
test/e131.png;False;245;293;385;444
test/e131.png;False;154;211;435;492
test/e122.png;False;275;311;104;160
test/e122.png;False;383;434;454;477
test/e1023.png;True;217;289;103;190
test/e1023.png;True;158;176;103;152
test/e1023.png;True;460;511;29;192
test/e1023.png;True;0;60;342;416
test/e1022.png;True;247;312;311;408
test/e1022.png;True;34;216;402;512
test/e1022.png;True;484;512;340;408
test/e1022.png;False;89;110;268;320
test/e1021.png;True;197;282;183;305
test/e1021.png;True;0;80;271;503
test/e1021.png;False;365;433;423;452
test/e1020.png;True;350;512;288;496
test/e1020.png;False;90;144;218;265
test/e1020.png;False;307;374;154;211
test/e0301.png;True;310;414;114;221
test/e0300.png;True;227;400;0;200
test/e1033.png;True;150;264;326;464
test/e1033.png;False;64;93;463;512
test/e1033.png;True;298;347;471;512
test/e1033.png;False;364;402;323;397
test/e1032.png;True;67;200;0;161
test/e1032.png;True;23;144;387;512
test/e1031.png;True;218;344;289;471
test/e1031.png;False;244;340;221;257
test/e1030.png;True;54;206;459;512
test/e1030.png;False;325;387;250;342
test/e1211.png;True;364;588;7;129
test/e1200.png;True;26;225;0;69
test/e1132.png;True;0;54;372;468
test/e1123.png;True;52;208;25;188
test/e1123.png;True;0;160;417;512
test/e1122.png;True;143;186;347;441
test/e1310.png;True;58;177;155;355
test/e1300.png;True;81;177;0;80

